series_id,rest_id,rest_uk
8,8,925
28,28,948
91,91,117
93,93,782
97,97,827
98,98,549
111,111,894
125,125,31
133,133,46
137,137,632
138,138,631
155,155,874
157,157,390
177,177,329
180,180,779
192,192,734
214,214,114
236,236,746
237,237,612
248,248,958
249,249,891
252,252,821
274,274,368
324,324,461
342,342,361
358,358,400
373,373,491
412,412,954
413,413,67
422,422,636
425,425,568
429,429,553
440,440,207
448,448,174
451,451,745
457,457,721
458,458,811
476,476,43
493,493,1006
494,494,1021
506,506,334
514,514,686
523,523,654
535,535,126
536,536,204
547,547,1047
554,554,683
559,559,49
562,562,209
563,563,585
576,576,962
590,590,297
596,596,1043
603,603,305
611,611,1009
627,627,700
643,643,153
645,645,807
656,656,467
660,660,561
663,663,1013
685,685,1048
697,697,34
701,701,1163
718,718,740
720,720,238
722,722,266
745,745,790
761,761,818
775,775,887
784,784,914
787,787,890
798,798,110
805,805,1045
810,810,579
811,811,617
818,818,1002
827,827,191
832,832,267
837,837,1064
838,838,210
848,848,318
852,852,730
853,853,127
856,856,378
874,874,501
877,877,479
886,886,1017
909,909,926
910,910,945
911,911,646
921,921,392
931,931,471
937,937,14
946,946,938
951,951,170
959,959,770
985,985,515
987,987,727
995,995,1168
999,999,21
1003,1003,140
1018,1018,1025
1022,1022,158
1024,1024,1149
1029,1029,600
1030,1030,240
1070,1070,1032
1081,1081,1206
1087,1087,1222
1106,1106,1289
1144,1144,3553
1157,1157,3597
1167,1167,3618
1214,1214,3755
9025,9025,445
